ciudad,departamento,latitude,longitude
Guamal,Magdalena,9.25,-74.1666667
Guamal,Meta,3.9166667,-74
Guamo,Tolima,4.0833333,-74.9166667
Guapota,Santander,6.3833333,-73.25
Guapí,Cauca,2.4166667,-77.6
Guaranda,Sucre,8.4697222,-75.5383333
Guarne,Antioquia,6.25,-75.4166667
Guasca,Cundinamarca,4.8333333,-73.8333333
Guatapé,Antioquia,6.25,-75.1666667
Guataquí,Cundinamarca,4.5833333,-74.8
Guatavita,Cundinamarca,4.9666667,-73.75
Guateque,Boyacá,5.0833333,-73.5
Guavatá,Santander,6,-73.65
Guayabal de Siquima,Cundinamarca,4.8813889,-74.4702778
Guayabetal,Cundinamarca,4.2163889,-73.8133333
Guayatá,Boyacá,5,-73.5
Guepsa,Santander,6.0833333,-73.5
Guicán,Boyacá,6.75,-72.1666667
Gutiérrez,Cundinamarca,4.25,-74
Guática,Risaralda,5.3333333,-75.8333333
Gámbita,Santander,6,-73.25
Gámeza,Boyacá,5.85,-72.75
Génova,Quindío,4.25,-75.6666667
Gómez Plata,Antioquia,6.75,-75.8333333
Hacarí,Norte de Santander,8.5,-73.0833333
Hatillo de Loba,Bolívar,8.9586111,-74.0808333
Hato,Santander,6.5833333,-73.3333333
Hato Corozal,Casanare,6.1555556,-71.7655556
Hatonuevo,La Guajira,11.0694444,-72.7669444
Heliconia,Antioquia,6.2333333,-75.75
Herrán,Norte de Santander,7.5,-72.4666667
Herveo,Tolima,5.0833333,-75.1666667
Hispania,Antioquia,5.8025,-75.9116667
Hobo,Huila,2.5833333,-75.5
Honda,Tolima,5.25,-74.8333333
Ibague,Tolima,4.4388889,-75.2322222
Icononzo,Tolima,4.1666667,-74.55
Iles,Nariño,0.95,-77.5333333
Imúes,Nariño,1.05,-77.5
Inzá,Cauca,2.6666667,-76.0833333
Inírida,Guainía,3.8652778,-67.9238889
Ipiales,Nariño,0.8302778,-77.6444444
Isnos,Huila,2.0833333,-76.25
Istmina,Chocó,5.1588889,-76.6916667
Itagüí,Antioquia,6.1719444,-75.6113889
Ituango,Antioquia,7.25,-76
Izá,Boyacá,5.6666667,-72.9166667
Jambaló,Cauca,2.85,-76.3166667
Jamundí,Valle del Cauca,3.1666667,-76.5833333
Jardín,Antioquia,5.5833333,-75.8333333
Jenesano,Boyacá,5.3888889,-73.3680556
Jericó,Antioquia,5.75,-75.75
Jericó,Boyacá,6.2,-72.5833333
Jerusalén,Cundinamarca,4.6666667,-74.6666667
Jesús María,Santander,5.9166667,-73.8333333
Jordán,Santander,6.75,-73.0666667
Juan de Acosta,Atlántico,10.8333333,-75.0333333
Junín,Cundinamarca,4.75,-73.6666667
Juradó,Chocó,7,-77.6666667
La Argentina,Huila,2.25,-76.1666667
La Belleza,Santander,5.8613889,-73.9683333
La Calera,Cundinamarca,4.75,-73.9166667
La Capilla,Boyacá,5.15,-73.45
La Ceja,Antioquia,6,-75.4166667
La Celia,Risaralda,4.9666667,-76
La Cruz,Nariño,1.55,-76.8833333
La Cumbre,Valle del Cauca,3.6666667,-76.5833333
La Dorada,Caldas,5.5333333,-74.7
La Esperanza,Norte de Santander,8.1666667,-72.4666667
La Estrella,Antioquia,6.1666667,-75.6666667
La Florida,Nariño,1.25,-77.4166667
La Gloria,Cesar,8.5833333,-73.5833333
La Jagua de Ibirico,Cesar,9.5641667,-73.3375
La Jagua del Pilar,La Guajira,10.5166667,-73.0833333
La Llanada,Nariño,1.4777778,-77.5838889
La Macarena,Meta,2.8536111,-73.9436111
La Merced,Caldas,5.4019444,-75.8847222
La Mesa,Cundinamarca,4.6666667,-74.5
La Montañita,Caquetá,1.5833333,-75.25
La Palma,Cundinamarca,5.4166667,-74.4166667
La Paz,Santander,6.25,-73.4666667
La Paz (Robles),Cesar,10.1666667,-73.25
La Peña,Cundinamarca,5.25,-74.4166667
La Pintada,Antioquia,5.75,-75.6
La Plata,Huila,2.4166667,-76.1666667
La Playa,Norte de Santander,8.25,-73.1666667
La Primavera,Vichada,5.4905556,-70.4091667
La Salina,Casanare,6.1852778,-72.3444444
La Sierra,Cauca,2.25,-76.8333333
La Tebaida,Quindío,4.45,-75.8
La Tola,Nariño,2.4108333,-78.2427778
La Unión,Antioquia,5.9166667,-75.3333333
La Unión,Nariño,1.5833333,-77.0833333
La Unión,Sucre,8.8605556,-75.2805556
La Unión,Valle del Cauca,4.5358333,-76.1066667
La Uvita,Boyacá,6.3333333,-72.5
La Vega,Cauca,2.0833333,-76.8333333
La Vega,Cundinamarca,5,-74.35
La Victoria,Boyacá,5.5258333,-74.2361111
La Victoria,Caldas,4.5238889,-76.0411111
La Victoria,Valle del Cauca,4.5238889,-76.0411111
La Virginia,Risaralda,4.9166667,-75.8333333
Labateca,Norte de Santander,7.3333333,-72.5
Labranzagrande,Boyacá,5.5833333,-72.5833333
Landázuri,Santander,6.2238889,-73.8127778
Lebrija,Santander,7.4166667,-73.4166667
Leiva,Nariño,1.9375,-77.3080556
Lejanías,Meta,3.5136111,-74.0516667
Lenguazaque,Cundinamarca,5.3333333,-73.6666667
Leticia,Amazonas,-4.2152778,-69.9405556
Liborina,Antioquia,6.75,-75.75
Linares,Nariño,1.3833333,-77.45
Lloró,Chocó,5.5833333,-76.4166667
Lorica,Córdoba,9.1666667,-75.8333333
Los Córdobas,Córdoba,8.9,-76.3597222
Los Palmitos,Sucre,9.3811111,-75.2713889
Los Patios,Norte de Santander,7.8383333,-72.5133333
Los Santos,Santander,6.9166667,-73.0833333
Lourdes,Norte de Santander,7.9666667,-72.8333333
Luruaco,Atlántico,10.6141667,-75.1461111
Lérida,Tolima,4.9166667,-74.9166667
Líbano,Tolima,4.9166667,-75.1666667
López (Micay),Cauca,2.4333333,-76.8
Macanal,Boyacá,4.9166667,-73.25
Macaravita,Santander,6.5833333,-72.5333333
Maceo,Antioquia,6.5,-74.75
Machetá,Cundinamarca,5.0833333,-73.6166667
Madrid,Cundinamarca,4.8333333,-74.3
Magangué,Bolívar,9.2413889,-74.7533333
Magüi (Payán),Nariño,1.9166667,-77.8333333
Mahates,Bolívar,10.1666667,-75.1666667
Maicao,La Guajira,11.3841667,-72.2441667
Majagual,Sucre,8.5,-74.6666667
Malambo,Atlántico,10.8588889,-74.7730556
Mallama (Piedrancha),Nariño,1.0833333,-77.8166667
Manatí,Atlántico,10.5,-75
Manaure,La Guajira,11.7791667,-72.4494444
Manaure Balcón del Cesar,Cesar,10.3927778,-73.0325
Manizales,Caldas,5.07,-75.5205556
Manta,Cundinamarca,5.0833333,-73.5833333
Manzanares,Caldas,5.25,-75.1666667
Maní,Casanare,4.8333333,-72.3333333
Mapiripan,Meta,2.8911111,-72.1322222
Margarita,Bolívar,9.0833333,-74.2
Marinilla,Antioquia,6.2,-75.3
Maripí,Boyacá,5.5833333,-74
Mariquita,Tolima,5.25,-74.9166667
Marmato,Caldas,5.5,-75.5833333
Marquetalia,Caldas,5.3333333,-75
Marsella,Risaralda,4.9166667,-75.75
Marulanda,Caldas,5.3333333,-75.25
María la Baja,Bolívar,10,-75.3333333
Matanza,Santander,7.4166667,-73.0833333
Medellín,Antioquia,6.2913889,-75.5361111
Medina,Cundinamarca,4.5,-73.3333333
Medio San Juan (ANDAGOYA),Chocó,5.1,-76.683
Melgar,Tolima,4.25,-74.5833333
Mercaderes,Cauca,1.75,-77.1666667
Mesetas,Meta,3.3780556,-74.0447222
Milán,Caquetá,1.3483333,-75.5116667
Miraflores,Boyacá,5.25,-73.1666667
Miraflores,Guaviare,1.3366667,-71.9511111
Miranda,Cauca,3.25,-76.25
Mistrató,Risaralda,5.4166667,-76
Mitú,Vaupés,1.1983333,-70.1733333
Mocoa,Putumayo,1.1488889,-76.6477778
Mogotes,Santander,6.5833333,-72.9166667
Molagavita,Santander,6.75,-72.75
Momil,Córdoba,9.2372222,-75.6780556
Mompós,Bolívar,9.25,-74.5833333
Mongua,Boyacá,5.8333333,-72.6666667
Monguí,Boyacá,5.75,-72.8333333
Moniquira,Boyacá,5.9166667,-73.5
Montebello,Antioquia,5.9166667,-75.5
Montecristo,Bolívar,8.2994444,-74.4755556
Montelíbano,Córdoba,7.75,-75.6666667
Montenegro,Quindío,4.5,-75.8
Monteria,Córdoba,8.7575,-75.89
Monterrey,Casanare,4.9166667,-72.8333333
Morales,Bolívar,8.4166667,-74
Morales,Cauca,2.8,-76.6666667
Morelia,Caquetá,1.4875,-75.725
Morroa,Sucre,9.4166667,-75.3333333
Mosquera,Cundinamarca,4.75,-74.3333333
Mosquera,Nariño,2.35,-78.35
Motavita,Boyacá,5.5797222,-73.3713889
Moñitos,Córdoba,8.25,-76.05
Murillo,Tolima,4.8769444,-75.1738889
Murindó,Antioquia,6.8,-76.8
Mutatá,Antioquia,7.3333333,-76.5
Mutiscua,Norte de Santander,7.3333333,-72.7166667
Muzo,Boyacá,5.5166667,-74.1166667
Málaga,Santander,6.7833333,-72.6666667
Nariño,Antioquia,5.6,-75.1666667
Nariño,Cundinamarca,4.45,-74.8
Nariño,Nariño,1.5,-78
Natagaima,Tolima,3.5833333,-75.0833333
Nechí,Antioquia,8.0963889,-74.7758333
Necoclí,Antioquia,8.4238889,-76.7911111
Neira,Caldas,5.1666667,-75.5
Neiva,Huila,2.9305556,-75.3302778
